"","Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved","colsN","conDate","locName","datNum","weekname","contactcount"
"1","New","Phillip Medical and Dental Centre","33 Colbee Court","Phillip","12/10/2021 - Tuesday","7:00am","7:50am","Casual",-35.351947,149.0897732,NA,FALSE,"yellow",2021-10-12,"Phillip",12,41,16
"2","New","Friendly Grocer Hughes","16 Hughes Place","Hughes","10/10/2021 - Sunday","8:00am","12:30pm","Casual",-35.3335607,149.0937384,NA,FALSE,"yellow",2021-10-10,"Hughes",10,41,5
"3",NA,"Australia Post Gungahlin","46 Hibberson Street","Gungahlin","09/10/2021 - Saturday","10:25am","11:00am","Monitor",-35.1860759,149.136881,NA,FALSE,"blue",2021-10-09,"Gungahlin",9,41,25
"4",NA,"Bus Route 4 Transport Canberra Code BUS646","Woden Interchange to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","1:15pm","1:28pm","Casual",-35.3444429,149.0872942,NA,FALSE,"yellow",2021-10-09,"Public Transport",9,41,20
"5",NA,"Bus Route 4 Transport Canberra Code BUS688","Tuggeranong Interchange to Woden Interchange","Public Transport","09/10/2021 - Saturday","11:59am","12:17pm","Casual",-35.414955,149.06613,NA,FALSE,"yellow",2021-10-09,"Public Transport",9,41,20
"6",NA,"Bus Route 74 Transport Canberra Code BUS604","Richardson to Tuggeranong Interchange","Public Transport","09/10/2021 - Saturday","11:34am","11:47am","Casual",-35.414225,149.065303,NA,FALSE,"yellow",2021-10-09,"Public Transport",9,41,20
"7",NA,"Bus Route 75 Transport Canberra Code BUS562","Tuggeranong Interchange to Richardson","Public Transport","09/10/2021 - Saturday","3:34pm","3:45pm","Casual",-35.414955,149.066105,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"yellow",2021-10-09,"Public Transport",9,41,20
"8",NA,"BWS Kaleen","Georgina Crescent","Kaleen","09/10/2021 - Saturday","3:25pm","4:00pm","Monitor",-35.220134,149.1038725,NA,FALSE,"blue",2021-10-09,"Kaleen",9,41,4
"9",NA,"Chapter 4 Cafe","2 Batman Street","Braddon","09/10/2021 - Saturday","1:45pm","2:25pm","Monitor",-35.2781796,149.1355841,NA,FALSE,"blue",2021-10-09,"Braddon",9,41,6
"10",NA,"Coles Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","09/10/2021 - Saturday","1:30pm","2:20pm","Casual",-35.2802271,149.1333059,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"yellow",2021-10-09,"Canberra City",9,41,20
"11",NA,"Coles Kaleen","Plaza Shopping Centre, 1 Maribyrnong Avenue","Kaleen","09/10/2021 - Saturday","3:55pm","4:40pm","Monitor",-35.2202787,149.1028478,NA,FALSE,"blue",2021-10-09,"Kaleen",9,41,4
"12",NA,"Coles Manuka","Manuka Terrace, Franklin Street and Flinders Way","Griffith","09/10/2021 - Saturday","7:20pm","8:10pm","Monitor",-35.3208333,149.1341667,NA,FALSE,"blue",2021-10-09,"Griffith",9,41,9
"13",NA,"Coles Tuggeranong","South Point Tuggeranong, Anketell Street and Reed Street","Greenway","09/10/2021 - Saturday","3:20pm","4:00pm","Monitor",-35.4167822,149.0666567,NA,FALSE,"blue",2021-10-09,"Greenway",9,41,12
"14",NA,"Evatt Newsagency","3 Heydon Place","Evatt","09/10/2021 - Saturday","1:25pm","2:05pm","Monitor",-35.2090866,149.0734589,NA,FALSE,"blue",2021-10-09,"Evatt",9,41,1
"15",NA,"Friendly Grocer Gowrie","1 Jeffries Street","Gowrie","09/10/2021 - Saturday","1:30pm","3:00pm","Monitor",-35.4135355,149.1097653,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-10-09,"Gowrie",9,41,6
"16",NA,"Friendly Grocer Narrabundah","6 Iluka Street","Narrabundah","09/10/2021 - Saturday","8:00am","5:30pm","Casual",-35.3326795,149.1540529,NA,FALSE,"yellow",2021-10-09,"Narrabundah",9,41,7
"17",NA,"Gelato Messina Braddon","21 Lonsdale Street","Braddon","09/10/2021 - Saturday","8:15pm","8:50pm","Monitor",-35.272777,149.1325994,NA,FALSE,"blue",2021-10-09,"Braddon",9,41,6
"18",NA,"IGA Drakeford","9 Jenke Circuit","Kambah","09/10/2021 - Saturday","1:50pm","2:20pm","Monitor",-35.3930138,149.0685425,NA,FALSE,"blue",2021-10-09,"Kambah",9,41,13
"19",NA,"IGA Gordon","114 Lewis Luxton Avenue","Gordon","09/10/2021 - Saturday","2:00pm","2:45pm","Monitor",-35.4503888,149.0839076,NA,FALSE,"blue",2021-10-09,"Gordon",9,41,3
"20",NA,"IGA X-Press Nicholls","88 Kelleway Avenue","Nicholls","09/10/2021 - Saturday","11:15am","12:00pm","Monitor",-35.1831589,149.0986612,NA,FALSE,"blue",2021-10-09,"Nicholls",9,41,2
"21",NA,"Lazzari Bros' Espresso","3 Carleton Street","Kambah","09/10/2021 - Saturday","10:00am","4:30pm","Casual",-35.383194,149.050146,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"yellow",2021-10-09,"Kambah",9,41,13
"22",NA,"Manuka Coles","Franklin Street and Flinders Way","Griffith","09/10/2021 - Saturday","7:45am","8:25am","Monitor",-35.3210247,149.1341946,NA,FALSE,"blue",2021-10-09,"Griffith",9,41,9
"23",NA,"Oporto Gungahlin","Marketplace Gungahlin, Hibberson Street","Gungahlin","09/10/2021 - Saturday","11:25am","12:10pm","Monitor",-35.1853007,149.1325714,NA,FALSE,"blue",2021-10-09,"Gungahlin",9,41,25
"24",NA,"SPAR Rivett","1 Rivett Place","Rivett","09/10/2021 - Saturday","6:05pm","6:45pm","Monitor",-35.3474694,149.0368139,NA,FALSE,"blue",2021-10-09,"Rivett",9,41,3
"25",NA,"SUPABARN Casey","Casey Market Town, 15 Kingsland Parade","Casey","09/10/2021 - Saturday","10:25am","11:05am","Monitor",-35.1741413,149.0960504,NA,FALSE,"blue",2021-10-09,"Casey",9,41,6
"26",NA,"SUPABARN Crace","56 Abena Avenue","Crace","09/10/2021 - Saturday","11:10am","11:50am","Monitor",-35.2020605,149.1076257,NA,FALSE,"blue",2021-10-09,"Crace",9,41,4
"27",NA,"Woolworths Calwell","Calwell Shopping Centre, 7 Webber Crescent","Calwell","09/10/2021 - Saturday","12:20pm","1:00pm","Monitor",-35.434588,149.114126,NA,FALSE,"blue",2021-10-09,"Calwell",9,41,10
"28",NA,"Woolworths Calwell","Calwell Shopping Centre, 7 Webber Crescent","Calwell","09/10/2021 - Saturday","8:00pm","8:40pm","Monitor",-35.4346893,149.114762,NA,FALSE,"blue",2021-10-09,"Calwell",9,41,10
"29",NA,"Woolworths Conder","Lanyon Marketplace, 4 Sidney Nolan Street","Conder","09/10/2021 - Saturday","4:00pm","4:50pm","Monitor",-35.457644,149.092486,NA,FALSE,"blue",2021-10-09,"Conder",9,41,11
"30",NA,"Woolworths Gungahlin","Marketplace Gungahlin, 30 and 33 Hibberson Street","Gungahlin","09/10/2021 - Saturday","1:50pm","3:05pm","Casual",-35.1846599,149.1349762,NA,FALSE,"yellow",2021-10-09,"Gungahlin",9,41,25
"31",NA,"Woolworths Gungahlin","30/33 Hibberson Street","Gungahlin","09/10/2021 - Saturday","4:20pm","5:00pm","Monitor",-35.1846274,149.1339891,"<strong/>!Location has more than<br> one entry. Zoom in and search table!</strong/>",TRUE,"blue",2021-10-09,"Gungahlin",9,41,25
