"","Status","Exposure.Location","Street","Suburb","Date","Arrival.Time","Departure.Time","Contact","lat","lon","doubles","moved","colsN","conDate","locName","datNum","weekname","contactcount"
"1",NA,"Powells Stockfeed","42-44 Colbee Court","Phillip","12/08/2021 - Thursday","1:45pm","2:30pm","Casual",-35.3529961,149.0870143,NA,FALSE,"yellow",2021-08-12,"Phillip",12,32,8
"2",NA,"Ceylon Cut","5/67 Townshend Street","Phillip","12/08/2021 - Thursday","2:35pm","4:15pm","Close",-35.3543969,149.0891224,NA,FALSE,"red",2021-08-12,"Phillip",12,32,8
"3",NA,"SupaExpress Florey","1/26 Kesteven Street","Florey","16/08/2021 - Monday","5:15pm","6:15pm","Monitor",-35.2263914,149.0544269,NA,FALSE,"blue",2021-08-16,"Florey",16,33,1
"4",NA,"KFC Dickson","81 Woolley Street","Dickson","17/08/2021 - Tuesday","3:30pm","5:30pm","Monitor",-35.2495219,149.1375976,NA,FALSE,"blue",2021-08-17,"Dickson",17,33,6
"5",NA,"IGA O'Connor","3 Sargood Street","O'Connor","18/08/2021 - Wednesday","1:15pm","2:15pm","Monitor",-35.2641187,149.1222844,NA,FALSE,"blue",2021-08-18,"O'Connor",18,33,3
"6",NA,"Caltex Erindale","McBryde Crescent and Denigan Street","Wanniassa","19/08/2021 - Thursday","2:00pm","6:00pm","Monitor",-35.4041845,149.0966659,NA,FALSE,"blue",2021-08-19,"Wanniassa",19,33,14
"7",NA,"Coles Amaroo","Horse Park Drive","Amaroo","22/08/2021 - Sunday","8:40am","10:00am","Casual",-35.1646128,149.1317816,NA,FALSE,"yellow",2021-08-22,"Amaroo",22,34,8
"8",NA,"Belconnen Discount Pharmacy (Priceline)","1-5 Chandler Street","Belconnen","23/08/2021 - Monday","1:10pm","2:20pm","Casual",-35.2374413,149.0681461,NA,FALSE,"yellow",2021-08-23,"Belconnen",23,34,25
"9",NA,"Evatt Newsagency","3 Heydon Place","Evatt","24/08/2021 - Tuesday","9:20am","10:00am","Monitor",-35.2090866,149.0734589,NA,FALSE,"blue",2021-08-24,"Evatt",24,34,1
"10",NA,"Bunnings Gungahlin","10 Gribble Street","Gungahlin","24/08/2021 - Tuesday","11:30am","12:45pm","Casual",-35.1838713,149.1303139,NA,FALSE,"yellow",2021-08-24,"Gungahlin",24,34,17
"11",NA,"Acai Brothers Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","15/08/2021 - Sunday","9:55am","10:05am","Casual",-35.2785479,149.1333424,NA,FALSE,"yellow",2021-08-15,"Canberra City",15,33,23
"12",NA,"ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","15/08/2021 - Sunday","5:10pm","6:00pm","Casual",-35.2380765,149.0651172,NA,FALSE,"yellow",2021-08-15,"Belconnen",15,33,25
"13",NA,"ALDI Canberra Centre","Canberra Centre, 148 Bunda Street","Canberra City","15/08/2021 - Sunday","9:15am","10:15am","Casual",-35.2802271,149.1332559,NA,FALSE,"yellow",2021-08-15,"Canberra City",15,33,23
"14",NA,"Bunnings Belconnen","15 Lathlain Street","Belconnen","15/08/2021 - Sunday","5:20pm","5:45pm","Monitor",-35.2444848,149.0637878,NA,FALSE,"blue",2021-08-15,"Belconnen",15,33,25
"15",NA,"Coles Gungahlin","Gungahlin Place","Gungahlin","15/08/2021 - Sunday","9:30am","10:00am","Casual",-35.1862806,149.136042,NA,FALSE,"yellow",2021-08-15,"Gungahlin",15,33,17
"16",NA,"Coles Manuka","Franklin Street and Flinders Way","Griffith","15/08/2021 - Sunday","11:15am","12:00pm","Monitor",-35.3210247,149.1341696,NA,FALSE,"blue",2021-08-15,"Griffith",15,33,2
"17",NA,"Condamine Court","40-48 Forbes Street","Turner","15/08/2021 - Sunday","12:00am","11:59pm","Close",-35.2642655,149.1303065,NA,FALSE,"red",2021-08-15,"Turner",15,33,6
"18",NA,"Daily Market Gungahlin","137/43 Hibberson Street","Gungahlin","15/08/2021 - Sunday","10:00am","10:30am","Casual",-35.1854965,149.1363642,NA,FALSE,"yellow",2021-08-15,"Gungahlin",15,33,17
"19",NA,"Dan Murphy's Dickson","44 Dickson Place","Dickson","15/08/2021 - Sunday","12:20pm","12:50pm","Monitor",-35.2504152,149.1401934,NA,FALSE,"blue",2021-08-15,"Dickson",15,33,6
"20",NA,"Dominos Gungahlin","3/8 Ernest Cavanagh Street","Gungahlin","15/08/2021 - Sunday","1:50pm","2:10pm","Casual",-35.183993,149.131686,NA,FALSE,"yellow",2021-08-15,"Gungahlin",15,33,17
"21",NA,"IGA O'Connor","3 Sargood Street","O'Connor","15/08/2021 - Sunday","5:30pm","6:00pm","Monitor",-35.2641187,149.1222594,NA,FALSE,"blue",2021-08-15,"O'Connor",15,33,3
"22",NA,"LDK Greenway Views","260 Soward Way","Greenway","15/08/2021 - Sunday","12:00am","11:59pm","Close",-35.4197317,149.0633775,NA,FALSE,"red",2021-08-15,"Greenway",15,33,12
"23",NA,"Spence Grocer","1 Glassey Place","Spence","15/08/2021 - Sunday","9:30am","9:50am","Casual",-35.1947447,149.0614983,NA,FALSE,"yellow",2021-08-15,"Spence",15,33,1
"24",NA,"Woolworths Dickson","1 Dickson Place","Dickson","15/08/2021 - Sunday","12:00pm","12:30pm","Casual",-35.249974,149.1387251,NA,FALSE,"yellow",2021-08-15,"Dickson",15,33,6
"25",NA,"National Health Co-op Macquarie","Macquarie Shops, 5 Macquarie Place","Macquarie","16/08/2021 - Monday","4:00pm","5:00pm","Casual",-35.2482554,149.0599749,NA,FALSE,"yellow",2021-08-16,"Macquarie",16,33,3
"26",NA,"7-Eleven Mawson","1 Mawson Place","Mawson","16/08/2021 - Monday","12:00pm","1:30pm","Casual",-35.365172,149.0936873,NA,FALSE,"yellow",2021-08-16,"Mawson",16,33,3
"27",NA,"ALDI Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","16/08/2021 - Monday","6:40pm","7:40pm","Casual",-35.2380765,149.0651672,NA,FALSE,"yellow",2021-08-16,"Belconnen",16,33,25
"28",NA,"BWS Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","16/08/2021 - Monday","7:30pm","8:20pm","Casual",-35.2394878,149.0654861,NA,FALSE,"yellow",2021-08-16,"Belconnen",16,33,25
"29",NA,"China Tea House","2/38-70 Gartside Street","Wanniassa","16/08/2021 - Monday","6:40pm","7:20pm","Monitor",-35.4056997,149.1010506,NA,FALSE,"blue",2021-08-16,"Wanniassa",16,33,14
"30",NA,"Condamine Court","40-48 Forbes Street","Turner","16/08/2021 - Monday","12:00am","11:59pm","Close",-35.2642655,149.1303565,NA,FALSE,"red",2021-08-16,"Turner",16,33,6
"31",NA,"Easi Mart","45 Eastlake Parade","Kingston","16/08/2021 - Monday","4:50pm","5:50pm","Casual",-35.3139653,149.1471622,NA,FALSE,"yellow",2021-08-16,"Kingston",16,33,2
"32",NA,"Food Forum","Westfield Belconnen, Benjamin Way","Belconnen","16/08/2021 - Monday","7:10pm","7:50pm","Casual",-35.2385072,149.0644201,NA,FALSE,"yellow",2021-08-16,"Belconnen",16,33,25
"33",NA,"Guzman y Gomez Canberra Centre","148 Bunda Street","Canberra City","16/08/2021 - Monday","6:30am","8:30pm","Casual",-35.2786183,149.1330753,NA,FALSE,"yellow",2021-08-16,"Canberra City",16,33,23
"34",NA,"IGA O'Connor","3 Sargood Street","O'Connor","16/08/2021 - Monday","3:15pm","4:15pm","Casual",-35.2641187,149.1223094,NA,FALSE,"yellow",2021-08-16,"O'Connor",16,33,3
"35",NA,"Jiparu Cellars","96 Wollongong Street","Fyshwick","16/08/2021 - Monday","2:45pm","3:45pm","Monitor",-35.3232079,149.1781779,NA,FALSE,"blue",2021-08-16,"Fyshwick",16,33,3
"36",NA,"Laundry Facility, Unilodge @ANU- Kinloch Lodge","35 Childers Street","Canberra City","16/08/2021 - Monday","8:30am","11:30am","Casual",-35.2767133,149.1255585,NA,FALSE,"yellow",2021-08-16,"Canberra City",16,33,23
"37",NA,"McDonalds Braddon","Corner Cooyong Street and Mort Street","Braddon","16/08/2021 - Monday","10:15am","10:40am","Casual",-35.2754512,149.1304965,NA,FALSE,"yellow",2021-08-16,"Braddon",16,33,7
"38",NA,"NewsXpress Wanniassa","Erindale Shopping Centre, 2 Denigan Street","Wanniassa","16/08/2021 - Monday","11:40am","12:20pm","Monitor",-35.4040526,149.0986255,NA,FALSE,"blue",2021-08-16,"Wanniassa",16,33,14
"39",NA,"Warrumbul Lodge","4 Hutton Street","Canberra City","16/08/2021 - Monday","12:00am","11:59pm","Casual",-35.2766548,149.124722,NA,FALSE,"yellow",2021-08-16,"Canberra City",16,33,23
"40",NA,"Woolworths Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","16/08/2021 - Monday","7:10pm","8:00pm","Casual",-35.2386596,149.0653762,NA,FALSE,"yellow",2021-08-16,"Belconnen",16,33,25
"41",NA,"Woolworths Belconnen","Westfield Belconnen, Benjamin Way","Belconnen","16/08/2021 - Monday","4:40pm","6:00pm","Casual",-35.2386596,149.0653262,NA,FALSE,"yellow",2021-08-16,"Belconnen",16,33,25
"42",NA,"Woolworths Weston Creek","Corner Brierly Street and Mahony Court","Weston","16/08/2021 - Monday","12:45pm","1:30pm","Monitor",-35.340765,149.052681,NA,FALSE,"blue",2021-08-16,"Weston",16,33,8
"43",NA,"Woolworths Wanniassa","Erindale Shopping Centre, 50-68 Comrie Street","Wanniassa","16/08/2021 - Monday","11:45am","12:35pm","Monitor",-35.4035739,149.098777,NA,FALSE,"blue",2021-08-16,"Wanniassa",16,33,14
"44",NA,"Zambrero Weston Creek","14 Brierly Street","Weston","16/08/2021 - Monday","1:00pm","1:40pm","Monitor",-35.3420891,149.0524454,NA,FALSE,"blue",2021-08-16,"Weston",16,33,8
"45",NA,"Woolworths Dickson","1 Dickson Place","Dickson","17/08/2021 - Tuesday","6:00pm","7:30pm","Casual",-35.249974,149.1386501,NA,FALSE,"yellow",2021-08-17,"Dickson",17,33,6
